Date,Close,Adj Close,Open,High,Low,Vol,Close_return
,AZN.L,AZN.L,AZN.L,AZN.L,AZN.L,AZN.L,
2015/1/2,4580,4564.15,4552,4616,4546.68,1367467,0.002665601
2015/1/5,4583.5,4567.63,4573,4620,4563.5,3574018,-0.001174974
2015/1/6,4488.5,4472.96,4572,4583.5,4488.5,2303838,-0.021900364
2015/1/7,4479.5,4464,4517.5,4526,4469.5,3312015,-0.011913518
2015/1/8,4572.5,4556.67,4513,4585.5,4500,2721743,0.009629973
2015/1/9,4587,4571.12,4566.5,4610.5,4548.5,2300007,0.001011204
2015/1/12,4672.5,4656.33,4592,4682,4584.48,2044647,0.013911925
2015/1/13,4717,4700.67,4660.5,4754,4651,2430217,0.008582313
2015/1/14,4680,4663.8,4750,4808.15,4609.5,3214967,-0.018314052
2015/1/15,4729,4712.63,4723,4748.82,4560,4284218,-0.002198052
2015/1/16,4715,4698.68,4650,4728.6,4565.63,2653859,0.010414399
2015/1/19,4725,4708.65,4729.5,4756.5,4686,1458218,-0.004418246
2015/1/20,4708,4691.7,4747.5,4751.69,4702.78,2837465,-0.011823174
2015/1/21,4711.5,4695.19,4732,4750,4560.05,2521760,-0.007809366
2015/1/22,4689.5,4673.27,4713.5,4713.5,4611,2334075,-0.008571691
2015/1/23,4733.5,4717.12,4692.5,4741,4681.12,2355710,0.005232954
2015/1/26,4700,4683.73,4727.5,4788.82,4685.5,1955987,-0.009301721
2015/1/27,4725,4708.65,4677.5,4756.41,4672,2817267,0.006637464
2015/1/28,4743.5,4727.08,4795,4795,4692.5,2348650,-0.014266033
2015/1/29,4761.5,4745.02,4705,4784.5,4589.8,2718624,0.008469874
2015/1/30,4743,4726.58,4756,4798,4684.5,3746512,-0.006205082
2015/2/2,4682,4665.79,4755,4800,4667,3070795,-0.01893953
2015/2/3,4641.5,4625.43,4689.5,4721.5,4632,2220865,-0.013756627
2015/2/4,4688,4671.77,4654.5,4768.05,4654.5,3269466,0.003703521
2015/2/5,4529,4513.32,4601,4735.82,4521.5,5925511,-0.019240647
2015/2/6,4467,4451.54,4504.5,4523,4449.5,3539888,-0.011826793
2015/2/9,4466.5,4451.04,4471.5,4471.5,4410.25,3633868,-0.004586146
2015/2/10,4488,4472.46,4441.5,4494,4412,3039973,0.006946436
2015/2/11,4491,4475.46,4462,4517.78,4440.5,2751684,0.003012044
2015/2/12,4504.5,4488.91,4500,4571.42,4446.5,2696143,-0.002467486
2015/2/13,4551,4535.25,4546.5,4566.5,4500.76,2001148,-0.002477497
2015/2/16,4468.5,4453.03,4565,4565,4448.36,2371814,-0.024833751
2015/2/17,4552.5,4536.74,4470.5,4552.5,4454.05,1889390,0.014708433
2015/2/18,4485,4469.48,4532,4539.88,4463.5,3157579,-0.013891272
2015/2/19,4427.5,4413.4,4400,4555.53,4342.5,2873399,0.003040827
2015/2/20,4413.5,4399.45,4406.5,4522,4386.5,2558961,-0.00160119
2015/2/23,4483,4468.73,4428,4518.57,4417,1770889,0.009156237
2015/2/24,4507,4492.65,4481.5,4621.69,4475,1672242,0.002484916
2015/2/25,4501.5,4487.17,4475,4592.6,4446,2268814,0.002715862
2015/2/26,4465,4450.79,4499.5,4585.23,4446.85,1695710,-0.010884671
2015/2/27,4469.5,4455.27,4478,4487.62,4445.5,2062339,-0.005088853
2015/3/2,4475.5,4461.25,4461.5,4502,4461.5,1356160,-5.60365E-05
2015/3/3,4431.5,4417.39,4491.5,4506.5,4425.5,2109463,-0.016637698
2015/3/4,4423.5,4409.42,4445,4449,4386,2195955,-0.008036707
2015/3/5,4486.5,4472.22,4440.5,4500,4398,2137805,0.007117947
2015/3/6,4415.5,4401.44,4528.5,4528.56,4408.5,2075503,-0.028458999
2015/3/9,4361,4347.12,4432.5,4432.5,4340,1913340,-0.019450202
2015/3/10,4272,4258.4,4369.5,4375.75,4271.65,2492468,-0.025755083
2015/3/11,4304.5,4290.8,4275,4324,4256.9,1979725,0.003689093
2015/3/12,4479,4464.74,4333.5,4501.5,4317.5,6622307,0.029835452
2015/3/13,4557,4542.49,4501.5,4563.81,4481,2992692,0.009064645
2015/3/16,4634.5,4619.75,4526.5,4645.5,4463,2603648,0.020391577
2015/3/17,4640,4625.23,4646.5,4673,4586,2101449,-0.004588149
2015/3/18,4750,4734.88,4653.5,4781.31,4646.25,3240453,0.017336758
2015/3/19,4785.5,4770.27,4750.5,4806,4740,2868821,0.004153031
2015/3/20,4847,4831.57,4826.5,4876.67,4805.48,5511467,0.001049899
2015/3/23,4840,4824.59,4870,4870,4815.5,1875348,-0.00936818
2015/3/24,4832,4816.62,4832,4862.5,4814.6,2271181,-0.003188023
2015/3/25,4761.5,4746.34,4811,4833,4583.5,1924796,-0.013531168
2015/3/26,4691,4676.07,4724.5,4756.5,4677.5,3923101,-0.010303722
2015/3/27,4686,4671.08,4707,4765.94,4669.5,2147776,-0.007660454
2015/3/30,4726.5,4711.45,4739.5,4754.5,4682.4,2120754,-0.005935929
2015/3/31,4626.5,4611.77,4689.5,4727.55,4605,3041512,-0.016714236
2015/4/1,4640.5,4625.73,4613.5,4677.5,4602,2415551,0.002647408
2015/4/2,4645,4630.21,4625.5,4678,4605,1546086,0.00101775
2015/4/7,4707,4692.02,4655,4707,4647,1734414,0.007921283
2015/4/8,4697,4682.05,4686,4710,4655,1453422,-0.000843292
2015/4/9,4764.5,4749.33,4710.5,4770.75,4709,1989993,0.008209496
2015/4/10,4753,4737.87,4791.5,4801.5,4609.5,3161297,-0.011255847
2015/4/13,4718.5,4703.48,4754.5,4796.5,4714.5,1839467,-0.010788878
2015/4/14,4800,4784.72,4702,4809.5,4690,3213724,0.017439557
2015/4/15,4857.5,4842.04,4799,4900,4785,3779774,0.008928557
2015/4/16,4828.5,4813.13,4880,4901,4820,2797405,-0.01379762
2015/4/17,4750,4734.88,4811,4885,4744,3358199,-0.01594858
2015/4/20,4803,4787.71,4756.5,4850,4756.5,1534985,0.006540114
2015/4/21,4855,4839.54,4824,4900,4807,2461547,0.003216215
2015/4/22,4863,4847.52,4880,4931.68,4840.5,2277989,-0.006677986
2015/4/23,4830,4814.62,4874,4920.85,4819.5,2608568,-0.012257833
2015/4/24,4749.5,4734.38,4880,4880,4664,5227510,-0.030294442
2015/4/27,4705.5,4690.52,4750,4761,4673.5,2452921,-0.012601168
2015/4/28,4548,4533.52,4652,4678.34,4519.5,5078880,-0.025798555
2015/4/29,4457.5,4443.31,4536.5,4661.14,4454.5,4317535,-0.020756195
2015/4/30,4496.5,4482.18,4456,4506,4412,3194161,0.005858033
2015/5/1,4461.5,4447.3,4461,4489.5,4400.82,2143345,-0.003075786
2015/5/5,4439,4424.87,4550,4552.5,4410.12,1675134,-0.027886333
2015/5/6,4413.5,4399.45,4421.5,4456,4389,2199460,-0.004999472
2015/5/7,4407,4392.97,4415,4426.5,4314.18,2786705,-0.005002298
2015/5/8,4532,4517.57,4470.5,4543,4418.5,3303265,0.010473979
2015/5/11,4528,4513.58,4544.5,4584.5,4516,2128555,-0.00682708
2015/5/12,4400,4385.99,4508,4523,4390,3300389,-0.027438226
2015/5/13,4390,4376.02,4419,4438,4378.5,1962156,-0.009773791
2015/5/14,4434.5,4420.38,4420,4441.5,4351,1601963,8.59692E-05
2015/5/15,4367.5,4353.6,4458.5,4484.47,4351.5,2621318,-0.023809298
2015/5/18,4390,4376.02,4390,4501.97,4345.5,2478030,-0.003189592
2015/5/19,4403.5,4389.48,4410,4421.5,4383,2475208,-0.00466392
2015/5/20,4393,4379.01,4425.5,4440.54,4370,2120739,-0.010560595
2015/5/21,4425,4410.91,4392,4461.5,4385,2339211,0.004296313
2015/5/22,4473.5,4459.26,4454,4489.5,4439,1917472,0.001180264
2015/5/26,4373.5,4359.58,4425,4445.5,4362,2736811,-0.014894556
2015/5/27,4468.5,4454.28,4410,4471,4389.5,2763788,0.009990742
2015/5/28,4492,4477.7,4484,4523.5,4477.5,2364488,-0.001405983
2015/5/29,4372.5,4358.58,4490,4512.5,4370,3450803,-0.029706386
2015/6/1,4366.5,4352.6,4503.5,4518.5,4360.5,3865222,-0.034081505
2015/6/2,4357,4343.13,4410,4410,4331,3030857,-0.015279403
2015/6/3,4390,4376.02,4372,4412,4331.5,2527671,0.000919065
2015/6/4,4337,4323.19,4369,4379,4285.5,3050019,-0.010540594
2015/6/5,4367.5,4353.6,4307.5,4388.5,4299.5,3445237,0.0106454
2015/6/8,4333,4319.21,4354.5,4372,4322.5,1566444,-0.008137278
2015/6/9,4246,4232.48,4316,4333.5,4204.5,3017675,-0.019540938
2015/6/10,4281,4267.37,4251,4320.06,4223.5,3126219,0.003843463
2015/6/11,4272,4258.4,4261,4311.5,4257.25,1706786,-0.000610372
2015/6/12,4211,4197.6,4255,4282.94,4100,2147187,-0.013581829
2015/6/15,4149,4135.79,4190,4200,4149,2928773,-0.013022372
2015/6/16,4170,4156.72,4144.5,4192.87,4126.5,2915922,0.002944148
2015/6/17,4158.5,4145.26,4172.5,4193.15,4154.5,1809945,-0.006549864
2015/6/18,4193,4179.65,4165.5,4293.33,4128,3813548,0.003391195
2015/6/19,4189,4175.66,4212,4225,4168.5,3906114,-0.008665165
2015/6/22,4242,4228.49,4234.5,4375.55,4193.78,2796561,-0.001420302
2015/6/23,4273.5,4259.9,4259.5,4282,4246,1939898,9.39033E-05
2015/6/24,4250,4236.47,4275,4286,4231.72,2834822,-0.009053727
2015/6/25,4183,4169.68,4220,4236,4173.13,2099641,-0.011995834
2015/6/26,4193.5,4180.15,4165.5,4201,4115,2533840,0.003510815
2015/6/29,4096.5,4083.46,4054,4150.52,4051,3212586,0.00724062
2015/6/30,4019,4006.21,4081,4091,4019,2880045,-0.018496399
2015/7/1,4120.5,4107.38,4062.5,4142.44,4031,6035455,0.010986808
2015/7/2,4190,4176.66,4148.5,4238.56,4133,3380289,0.006765061
2015/7/3,4167,4153.73,4190,4210,4152.5,1926101,-0.008694008
2015/7/6,4149,4135.79,4122,4200.28,4120,1678960,0.00333988
2015/7/7,4178,4164.7,4179.5,4210.5,4161.23,2674138,-0.003547378
2015/7/8,4194.5,4181.15,4191.5,4212.5,4163,2067938,-0.002472337
2015/7/9,4222,4208.56,4195.5,4244.18,4172,1897858,0.003108024
2015/7/10,4284.5,4270.86,4263,4285,4237.25,2433422,0.001842074
2015/7/13,4331,4317.21,4320,4376.57,4305,2907486,-0.000646042
2015/7/14,4345,4331.17,4350.5,4414.76,4313,2286118,-0.004453068
2015/7/15,4343.5,4329.67,4350,4407.13,4320,1713584,-0.004684518
