Date,Close,Adj Close,Open,High,Low,Vol,Close_return
,BP.L,BP.L,BP.L,BP.L,BP.L,BP.L,
2015/1/2,410.45,407.85,413.95,415.65,404.15,19207206,-0.014845734
2015/1/5,389.7,387.23,408,409.54,387.8,48914106,-0.052248343
2015/1/6,391.05,388.57,391,399.2,382.7,39403991,-0.006234226
2015/1/7,393.75,391.26,393.05,400,386.2,42160052,-0.00456453
2015/1/8,405,402.44,400.3,406.15,395.75,37480336,0.005331751
2015/1/9,398.65,396.13,404.9,408,395.8,33007664,-0.021897683
2015/1/12,396.55,394.04,399.2,399.99,390.55,32326873,-0.013010117
2015/1/13,396.3,393.79,392.4,398.18,384.81,32208300,0.003536045
2015/1/14,382.15,379.73,391.1,391.8,379.3,47314935,-0.029502808
2015/1/15,392.6,390.11,391.6,396.3,376.7,55518121,-0.00381216
2015/1/16,413.35,410.73,392.25,414.86,385.39,61106292,0.046036673
2015/1/19,408.9,406.31,413.7,414.8,407.25,27652612,-0.018024658
2015/1/20,412.2,409.59,410.5,418.4,408.25,35119529,-0.00221927
2015/1/21,426,423.3,413.8,426,404.1,46821026,0.022698382
2015/1/22,428.4,425.69,431.55,435.95,425.25,41172200,-0.013671997
2015/1/23,432.4,429.66,432.7,434,423,32130256,-0.007050449
2015/1/26,439,436.22,428,439.4,417.5,40094631,0.019023508
2015/1/27,440.6,437.81,439,445.68,430.35,41562958,-0.002714387
2015/1/28,432.95,430.21,443.05,443.05,428.69,39868599,-0.029409169
2015/1/29,424.85,422.16,424.6,426.2,418.05,42822464,-0.00576316
2015/1/30,424.45,421.76,425.85,431.05,420.05,48713739,-0.00965074
2015/2/2,437.7,434.93,430.45,437.7,426.35,48135826,0.010353925
2015/2/3,449.85,447,459.45,463.1,428.85,72458544,-0.027471527
2015/2/4,445.35,442.53,450,450.7,437.6,41632218,-0.016739324
2015/2/5,450.1,447.25,441.25,452.5,434.85,34601064,0.013506114
2015/2/6,450.6,447.75,451.25,454.9,446.75,33548478,-0.007786469
2015/2/9,457.1,454.21,449.35,458.75,447.15,34913795,0.010757552
2015/2/10,446.35,443.52,455.8,456.85,442.7,42714657,-0.02731122
2015/2/11,445.8,442.98,448,448.75,440.4,26417386,-0.01126861
2015/2/12,444.3,441.55,439.3,448.85,439.16,50451230,0.005108713
2015/2/13,454.2,451.39,444.75,456.33,444,39397363,0.014819384
2015/2/16,451.9,449.11,454.2,457.35,449.9,22031561,-0.011269783
2015/2/17,452,449.21,449,458.15,447.5,31877185,0.000467597
2015/2/18,451.3,448.51,456.2,456.75,447.45,29386241,-0.017000332
2015/2/19,445.7,442.94,448.1,448.1,440.2,30864949,-0.011582101
2015/2/20,446.7,443.94,446,449.25,442.15,31763213,-0.004629534
2015/2/23,444.6,441.85,450,450,440.85,24771910,-0.018277125
2015/2/24,448.35,445.58,444.9,448.5,442.25,26724739,0.001527266
2015/2/25,449.4,446.62,447.35,462.98,445.55,18737816,-0.001633165
2015/2/26,448,445.23,449.2,452.7,446,24948389,-0.00887722
2015/2/27,448.05,445.28,447.1,449.8,445.4,30312502,-0.004078985
2015/3/2,446.65,443.89,447.7,449.5,442.8,26288412,-0.008546581
2015/3/3,448.6,445.83,448.15,450.75,446.25,31708689,-0.005190284
2015/3/4,451.05,448.26,453,453.25,446.69,38273410,-0.010518704
2015/3/5,452.6,449.8,452.25,454.3,445.13,26614831,-0.005432085
2015/3/6,447,444.24,451,499.25,441.96,32460618,-0.015102383
2015/3/9,445.7,442.94,445.15,448.35,432.25,26524624,-0.004976983
2015/3/10,428.1,425.45,444.9,445.5,428.1,36729707,-0.044702106
2015/3/11,425.15,422.52,430.85,433.86,423.3,29376608,-0.019523219
2015/3/12,425.85,423.22,426.45,434.21,424.75,32319265,-0.007602988
2015/3/13,418.25,415.66,426.2,427.6,415.99,29671487,-0.025041101
2015/3/16,417.6,415.02,421.6,421.95,413.75,30319951,-0.015730285
2015/3/17,425.9,423.27,419.4,426.5,404.05,41975610,0.009185155
2015/3/18,436.1,433.4,425.15,436.1,423.4,40014013,0.019219041
2015/3/19,440.9,438.17,438,441.9,434.4,37206285,0.000388053
2015/3/20,451,448.21,442,451,436.95,107732982,0.013951991
2015/3/23,447.9,445.13,449.05,450.4,431.78,28839139,-0.008767866
2015/3/24,444.15,441.4,447.15,449.9,444.15,31647851,-0.012942615
2015/3/25,448.35,445.58,442.5,449.8,440.07,25051870,0.00693634
2015/3/26,446.1,443.34,449,458.95,444.3,59179165,-0.012685918
2015/3/27,443.6,440.86,445.65,447.45,438.25,31456513,-0.010806526
2015/3/30,446.1,443.34,446.35,448.1,443.12,28630921,-0.006766428
2015/3/31,436.7,434,447.45,448.1,418.74,37357866,-0.030520266
2015/4/1,442.1,439.37,437.8,445.15,437.25,25009287,0.003579698
2015/4/2,442.85,440.11,443.7,445.02,438,20899148,-0.008123963
2015/4/7,454.85,452.04,450,457.3,446.25,37525452,0.004523089
2015/4/8,457.3,454.47,468.3,476.35,456.7,85533059,-0.029977211
2015/4/9,463.7,460.83,457.9,463.7,450.35,43840700,0.006378392
2015/4/10,472.25,469.33,465.95,473.1,462.49,32900839,0.007227814
2015/4/13,471,468.09,470.2,472.45,465.1,25583671,-0.004497551
2015/4/14,470.95,468.04,468,472.35,466.8,30898784,8.54664E-05
2015/4/15,475.8,472.86,470.5,479.17,469.5,41544878,0.005003403
2015/4/16,473.45,470.52,479.1,479.6,470.85,36986444,-0.018070878
2015/4/17,479.35,476.39,474.4,480,473.5,49267432,0.004185999
2015/4/20,483.4,480.41,479.75,484.55,479.12,30145205,0.001374771
2015/4/21,480,477.03,482.45,487.4,479.67,43279271,-0.011297906
2015/4/22,479.75,476.78,480.45,484.2,475,29213899,-0.007667996
2015/4/23,484.15,481.16,481.35,485.35,480.25,26140591,-0.000394801
2015/4/24,478.4,475.44,484.15,487.5,477.1,36573952,-0.018154085
2015/4/27,476.9,473.95,477.35,478.9,471.2,32689189,-0.007148144
2015/4/28,476.1,473.16,480,485.85,471.05,64846241,-0.014352506
2015/4/29,468.15,465.26,473.45,475.95,465.2,40355209,-0.017449921
2015/4/30,470.1,467.19,470.1,472.85,466.1,38341557,-0.006209411
2015/5/1,468.6,465.7,469.5,469.95,466.35,18680928,-0.008126649
2015/5/5,474.95,472.01,475.7,481.85,471.05,27802382,-0.007787232
2015/5/6,473.3,470.37,473.6,476.35,469,34456871,-0.006843465
2015/5/7,457.1,454.34,466.45,467.35,454.4,42674517,-0.026305017
2015/5/8,461.3,458.51,461.45,464.25,458.1,33876066,-0.006391604
2015/5/11,457.7,454.93,460.55,466.9,457.35,26390871,-0.012277866
2015/5/12,456.05,453.29,454.15,458.65,451.2,40564021,-0.001895443
2015/5/13,456,453.24,456,461.4,453.8,27419316,-0.006071023
2015/5/14,456.8,454.04,454.35,466.34,451.1,19548052,-0.000682526
2015/5/15,452.4,449.66,456.2,467.31,449.98,26021675,-0.014439568
2015/5/18,452.3,449.57,450.65,456.4,449.2,26639675,-0.002399415
2015/5/19,452.35,449.62,454.5,457.6,448.09,28684189,-0.010795132
2015/5/20,452.1,449.37,451.2,456.6,445.55,26462187,-0.004064098
2015/5/21,458,455.23,450.9,458.6,450.6,28951791,0.0095572
2015/5/22,457.75,454.98,458.9,461.65,456.75,22676408,-0.008578859
2015/5/26,451.7,448.97,457.75,458.5,449.25,28740011,-0.019367113
2015/5/27,454.4,451.65,452,457.15,450.4,23281869,-0.000774636
2015/5/28,453.3,450.56,453.05,454.95,449.4,19784324,-0.005511241
2015/5/29,450.75,448.02,453,456.9,449.64,34072065,-0.011054251
2015/6/1,447.4,444.7,452.25,454.3,446.6,25069117,-0.016835227
2015/6/2,449.95,447.23,450,456.02,442.25,27661476,-0.006174579
2015/6/3,449.55,446.83,450,453.55,447.2,27032854,-0.007069374
2015/6/4,440.15,437.49,447.65,447.65,439.85,26387595,-0.022957829
2015/6/5,443.35,440.67,438.5,446,435.4,28788941,0.004936484
2015/6/8,441.9,439.23,444.2,445.97,437.7,19899296,-0.011251718
2015/6/9,441.35,438.68,443.5,444,438.15,19248873,-0.010927584
2015/6/10,443.55,440.87,440,444.01,439.75,29431176,0.00197532
2015/6/11,446.8,444.1,443.65,449.2,442.54,26769176,0.001013799
2015/6/12,437.6,434.95,443.75,445.9,436.4,28390688,-0.020030259
2015/6/15,435.05,432.42,436,439.05,430.94,21333708,-0.008244905
2015/6/16,432.4,429.79,435.5,446.6,429.3,36440527,-0.013198079
2015/6/17,435,432.37,433.5,440.35,432,25693061,-0.002610093
2015/6/18,434.45,431.82,435.1,435.1,430.68,22906779,-0.007567055
2015/6/19,431.35,428.74,432.6,436.55,429.65,41744237,-0.008962839
2015/6/22,439.4,436.74,436.05,439.65,434.55,21651810,0.001581137
2015/6/23,438.95,436.3,439.6,440.75,436.2,17454245,-0.007535142
2015/6/24,442.1,439.43,438.85,444.65,436.55,21193349,0.001320764
2015/6/25,442.3,439.63,443.25,447.5,440.15,22125576,-0.008200481
2015/6/26,437.55,434.9,442.4,443.05,437.05,20290370,-0.017098331
2015/6/29,427.55,424.97,428.8,434.05,427.15,27762140,-0.008972032
2015/6/30,420.15,417.61,427.6,427.6,420.15,32718186,-0.023640197
2015/7/1,419.15,416.62,425,425.8,417.99,30738126,-0.019914634
2015/7/2,437.4,434.76,420.7,441.45,419.35,66373831,0.032874164
2015/7/3,434.4,431.77,439,445.05,432.55,34957225,-0.016606374
2015/7/6,429.5,426.9,429.65,434.65,428.3,27122614,-0.00642113
2015/7/7,418.55,416.02,427.75,429.85,416.8,41700022,-0.027805577
2015/7/8,423.2,420.64,420.05,426.25,419.2,27717789,0.001403609
2015/7/9,426.05,423.47,426.15,428.95,421.9,29587253,-0.006308724
2015/7/10,427,424.42,431.2,432.15,423.25,29506147,-0.015848489
2015/7/13,428.8,426.21,433.25,433.25,425,21029539,-0.016382746
2015/7/14,429.15,426.56,427.35,430.95,424.15,27453473,-0.001850313
2015/7/15,427.1,424.52,429.35,432.47,425.85,23381109,-0.011313318
2015/7/16,422,419.45,428,428,421.1,27706682,-0.020178866
2015/7/17,416.95,414.43,422.35,422.43,415.45,24825012,-0.018930272
2015/7/20,416.6,414.08,418,420.65,415.55,18523113,-0.009422241
2015/7/21,414,411.5,417.1,417.15,412.35,27275395,-0.013516981
2015/7/22,406.6,404.14,412.8,413.35,406.59,28926749,-0.021201862
2015/7/23,401,398.58,405.4,407.05,400.1,37226244,-0.016966003
2015/7/24,394.7,392.31,401.7,402.6,394.1,33652229,-0.023653198
2015/7/27,387.3,384.96,393.6,396.4,384.15,34841570,-0.022195732
2015/7/28,392.65,390.28,385,396.79,383,44690282,0.013621096
2015/7/29,398.6,396.19,396.05,399.1,391.65,48660079,0.000353428
2015/7/30,401,398.58,399,405.85,397.6,35395714,-0.001053186
2015/7/31,395.45,393.06,402.9,402.9,392.4,35454814,-0.02472612
2015/8/3,391.45,389.08,392.7,395.4,387.2,38979439,-0.009260984
2015/8/4,390.4,388.04,389.95,392.7,385.75,46565943,-0.004910099
2015/8/5,395.05,392.66,390,397.35,388.95,29017985,0.006797358
2015/8/6,383.2,380.95,386,393,380.15,36164211,-0.013169237
2015/8/7,385.6,383.33,384.4,391.01,383.8,38213280,-0.00278744
2015/8/10,385.5,383.23,386.4,387.7,379.5,65915620,-0.008237771
2015/8/11,380.5,378.26,385.55,390.1,380.46,31211530,-0.019089096
2015/8/12,383.6,381.34,378,384.8,376.2,46452717,0.00879717
2015/8/13,383.15,380.9,389.3,391.75,382.25,31285176,-0.021813381
2015/8/14,379.25,377.02,380.2,382.45,377.1,29732534,-0.008399194
2015/8/17,378.15,375.93,380,381,374.15,22658380,-0.010768297
2015/8/18,373.75,371.55,378.3,379.8,373.05,21498497,-0.018004087
2015/8/19,367.5,365.34,373.5,373.5,366.4,30153663,-0.022089578
2015/8/20,369.6,367.43,365.1,374.85,362.55,38485997,0.006361536
2015/8/21,357.2,355.1,363.8,369.18,357.2,35801078,-0.024204826
2015/8/24,331.05,329.1,345.15,362.85,326.25,72815022,-0.047617449
2015/8/25,335.35,333.38,335.7,338.8,332.65,89785236,-0.006934923
2015/8/26,331.2,329.25,330.95,339.9,327.45,66939846,-0.005149966
2015/8/27,351.2,349.13,337.7,354.14,333.7,53787143,0.033286418
2015/8/28,360.5,358.38,355,360.8,348.85,47119280,0.009476086
2015/9/1,349.4,347.35,358.45,363.75,347.3,55287204,-0.031456263
2015/9/2,345.3,343.27,349,353,341.99,46152328,-0.016554613
2015/9/3,355.85,353.76,351,358.75,252.55,40384465,0.007832494
2015/9/4,337.9,335.91,350,350.8,334.89,48708946,-0.041089888
2015/9/7,336,334.02,339.8,345.7,335.54,20930730,-0.017156338
2015/9/8,340.2,338.2,339.1,346.6,338.1,45803881,-0.002657613
2015/9/9,342.5,340.49,345.3,347.55,341.95,29531519,-0.014027848
2015/9/10,335.3,333.33,339.8,342.05,333.05,44684220,-0.019224219
2015/9/11,333.5,331.54,337.15,339.45,333.05,27504805,-0.016779469
2015/9/14,332,330.05,335.9,339.5,329.75,26567261,-0.017569338
2015/9/15,338.7,336.71,333.65,339.95,328.45,55440891,0.009129486
2015/9/16,345.85,343.82,339.6,347.15,337.25,33785344,0.01234981
2015/9/17,345.7,343.67,345.4,346.78,342.9,48618779,-0.005021271
2015/9/18,333.45,331.49,343.85,347.4,329.55,75436952,-0.036607873
2015/9/21,333.55,331.59,331,336.4,330.1,28372226,0.001780891
2015/9/22,325.2,323.29,334.65,334.65,321.85,44325848,-0.034535456
2015/9/23,329.45,327.51,326.5,334.11,325.9,29369385,0.00308864
2015/9/24,322.9,321,327.3,327.35,321.7,32789601,-0.019436058
2015/9/25,333.3,331.34,329.15,334.8,328.27,32227297,0.006631465
2015/9/28,323.05,321.15,333.6,335.2,322.98,23460307,-0.038034367
2015/9/29,326.2,324.28,319.9,330,319.9,31380395,0.013598893
2015/9/30,334,332.04,329.95,334,328,36272700,0.006314316
2015/10/1,342.25,340.24,339.05,349.85,339.05,46504167,0.003503662
2015/10/2,351.45,349.38,342.7,353,341.8,43168591,0.019304726
2015/10/5,368,365.84,359.85,369.15,356.05,44442893,0.016508801
2015/10/6,378.1,375.88,370.6,379,362.3,39379110,0.01414663
2015/10/7,387,384.72,377.5,393.85,376.9,67363332,0.018945228
2015/10/8,388.95,386.66,384.75,389.7,380.4,33194534,0.004951981
2015/10/9,391.6,389.3,393,397.3,390.35,34631564,-0.009459357
2015/10/12,384.8,382.54,390.75,393.3,383.55,25522097,-0.021234746
2015/10/13,382.75,380.5,383.1,384.9,376.25,29372846,-0.006809874
2015/10/14,377.65,375.43,379.3,383.55,375.3,26910649,-0.010255413
2015/10/15,379.65,377.42,381.45,386.35,379.6,29203586,-0.010621155
2015/10/16,384,381.74,383,389.85,382.1,24500389,-0.003295241
2015/10/19,377.25,375.03,383.65,387,375.55,19028769,-0.022724656
2015/10/20,376.55,374.34,376.8,378.2,370.95,23317484,-0.006550067
2015/10/21,380.95,378.71,378.65,385.4,375.2,33070294,0.000158445
2015/10/22,388.55,386.26,381,390.45,380.55,37359480,0.013711343
2015/10/23,388.1,385.82,391.9,395.05,385.9,26356321,-0.015635766
2015/10/26,384.4,382.14,386.75,389.25,382.5,22654729,-0.011991456
2015/10/27,380,377.77,390,392.87,376.75,44460183,-0.031861194
2015/10/28,391,388.7,382.65,393.15,377.45,38910492,0.015687105
2015/10/29,391.7,389.4,390.85,392.9,382.2,71056854,-0.003716762
2015/10/30,386.4,384.13,393.05,393.95,383.6,31703595,-0.022955793
2015/11/2,388.25,385.97,386.4,389.2,380.85,20452411,-0.001113456
2015/11/3,403.25,400.88,389.7,403.25,386.55,46089592,0.028284918
2015/11/4,402.05,399.69,402.9,411.5,401.7,45564464,-0.007999146
2015/11/5,390.45,388.22,393.1,395.9,387.25,30484394,-0.012491843
2015/11/6,386.5,384.29,389.2,395.05,384.8,31363217,-0.012695874
2015/11/9,382.6,380.41,386.2,392.3,382.6,24678373,-0.015105752
2015/11/10,382.5,380.31,385.15,386.85,381.05,25364595,-0.012646159
2015/11/11,377.9,375.74,383.8,384.68,376.95,23116290,-0.021224169
2015/11/12,367.25,365.15,376.4,379.15,367.1,32428210,-0.03034418
2015/11/13,364.5,362.42,365.95,369.8,360.35,27349974,-0.009692952
2015/11/16,368.65,366.54,362.35,373.1,362.35,28733683,0.01149706
2015/11/17,378.55,376.39,377.95,380.2,374.5,32865715,-0.004136072
2015/11/18,382.5,380.31,375,384.9,373.11,33870614,0.014060684
2015/11/19,385.15,382.95,384.1,389.95,381.95,30063992,-0.002998503
2015/11/20,381.3,379.12,384.7,385.65,379.65,32153367,-0.014611032
2015/11/23,380.75,378.57,375,385.85,372.7,29628073,0.00947497
2015/11/24,385.9,383.69,380.7,387,377.8,33094964,0.007823271
2015/11/25,386.1,383.89,386.7,389.35,382.15,33263830,-0.007293145
2015/11/26,389.6,387.37,386.1,390.9,385.3,20478427,0.003283905
2015/11/27,386.55,384.34,387.45,388.35,385.1,19857588,-0.008059231
2015/11/30,385.25,383.05,384.8,389,383.2,40098976,-0.00455819
2015/12/1,384.55,382.35,386.35,387.48,382.25,20884696,-0.010407275
2015/12/2,382,379.82,382.75,386.2,380.35,32004254,-0.007684578
2015/12/3,368.55,366.44,380.6,382.3,368.37,39156513,-0.037914158
2015/12/4,359.7,357.64,369.1,375.25,356.8,37017831,-0.031540716
2015/12/7,347.6,345.61,356.25,358.2,346.6,32311531,-0.03032176
2015/12/8,347.8,345.81,344.8,352.75,340,39928774,0.002924952
2015/12/9,350.45,348.45,348.75,356.85,343.9,35093272,-0.000860585
2015/12/10,350.95,348.94,351.8,354.7,348.55,29934226,-0.008162845
2015/12/11,338,336.07,349.5,351.25,337.1,32322873,-0.03918409
2015/12/14,329.3,327.42,338.45,340,328.8,39295227,-0.033132621
2015/12/15,337.7,335.77,330.5,340.25,330.5,40856201,0.015819742
2015/12/16,340.2,338.26,340,346.65,339.4,34985075,-0.005130787
2015/12/17,340.35,338.4,345.2,345.8,339.7,30541924,-0.019895331
