Date,Close,Adj Close,Open,High,Low,Vol,Close_return
,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,
2015/1/1,314.25,314.25,320.43,320.43,314,8036550,-0.019474996
2015/1/2,315.03,315.03,314.08,315.84,313.57,7860650,0.003020142
2015/1/3,281.08,281.08,314.85,315.15,281.08,33054400,-0.113457009
2015/1/4,264.2,264.2,281.15,287.23,257.61,55629100,-0.062181943
2015/1/5,274.47,274.47,265.08,278.34,265.08,43962800,0.034810298
2015/1/6,286.19,286.19,274.61,287.55,272.7,23245700,0.041304017
2015/1/7,294.34,294.34,286.08,298.75,283.08,24866800,0.02846407
2015/1/8,283.35,283.35,294.14,294.14,282.17,19982500,-0.037372962
2015/1/9,290.41,290.41,282.38,291.11,280.53,18718600,0.028040036
2015/1/10,274.8,274.8,287.3,288.13,273.97,15264300,-0.044483406
2015/1/11,265.66,265.66,274.61,279.64,265.04,18200800,-0.033134614
2015/1/12,267.8,267.8,266.15,272.2,265.2,18880300,0.006180374
2015/1/13,225.86,225.86,267.39,268.28,219.91,72843904,-0.168792929
2015/1/14,178.1,178.1,223.89,223.89,171.51,97638704,-0.22880967
2015/1/15,209.84,209.84,176.9,229.07,176.9,81773504,0.170760734
2015/1/16,208.1,208.1,209.07,221.59,199.77,38421000,-0.004650391
2015/1/17,199.26,199.26,207.83,211.73,194.88,23469700,-0.042109933
2015/1/18,210.34,210.34,200.05,218.7,194.51,30085100,0.050157934
2015/1/19,214.86,214.86,211.47,216.73,207.32,18658300,0.015903509
2015/1/20,211.32,211.32,212.91,215.24,205.15,24051100,-0.007495969
2015/1/21,226.9,226.9,211.38,227.79,211.21,29924600,0.07085193
2015/1/22,233.41,233.41,227.32,237.02,226.43,33544600,0.026437847
2015/1/23,232.88,232.88,233.52,234.85,225.2,24621700,-0.002744427
2015/1/24,247.85,247.85,232.7,248.21,230.02,24782500,0.063073654
2015/1/25,253.72,253.72,247.35,255.07,243.89,33582700,0.025426959
2015/1/26,273.47,273.47,254.08,309.38,254.08,106794000,0.073542749
2015/1/27,263.48,263.48,273.17,275.48,250.65,44399000,-0.036116848
2015/1/28,233.91,233.91,263.35,266.54,227.05,44352200,-0.11854752
2015/1/29,233.51,233.51,233.35,238.71,220.71,32213400,0.00068543
2015/1/30,226.43,226.43,232.77,242.85,225.84,26605200,-0.027614995
2015/1/31,217.46,217.46,226.44,233.5,216.31,23348200,-0.040465084
2015/2/1,226.97,226.97,216.87,231.57,212.01,29128500,0.045519754
2015/2/2,238.23,238.23,226.49,242.18,222.66,30612100,0.0505358
2015/2/3,227.27,227.27,237.45,245.96,224.48,40783700,-0.043818337
2015/2/4,226.85,226.85,227.51,230.06,221.11,26594300,-0.002905187
2015/2/5,217.11,217.11,227.66,239.4,214.73,22516400,-0.04744915
