Date,Close,Adj Close,Open,High,Low,Vol,Close_return
,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,
2017/11/9,320.88,320.88,308.64,329.45,307.06,893249984,0.038891672
2017/11/10,299.25,299.25,320.67,324.72,294.54,885985984,-0.069133213
2017/11/11,314.68,314.68,298.59,319.45,298.19,842300992,0.052484855
2017/11/12,307.91,307.91,314.69,319.15,298.51,1613479936,-0.021780495
2017/11/13,316.72,316.72,307.02,328.42,307.02,1041889984,0.031105211
2017/11/14,337.63,337.63,316.76,340.18,316.76,1069680000,0.063806232
2017/11/15,333.36,333.36,337.96,340.91,329.81,722665984,-0.013704558
2017/11/16,330.92,330.92,333.44,336.16,323.61,797254016,-0.007586285
2017/11/17,332.39,332.39,330.17,334.96,327.52,621732992,0.006701305
2017/11/18,347.61,347.61,331.98,349.62,327.69,649638976,0.046006436
2017/11/19,354.39,354.39,347.4,371.29,344.74,1181529984,0.019921148
2017/11/20,366.73,366.73,354.09,372.14,353.29,807027008,0.035074764
2017/11/21,360.4,360.4,367.44,372.47,350.69,949912000,-0.019345514
2017/11/22,380.65,380.65,360.31,381.42,360.15,800819008,0.054915546
2017/11/23,410.17,410.17,381.44,425.55,376.09,1845680000,0.072618143
2017/11/24,474.91,474.91,412.5,480.97,402.76,2292829952,0.140889107
2017/11/25,466.28,466.28,475.68,485.19,461.05,1422080000,-0.019959047
2017/11/26,471.33,471.33,465.97,472.72,451.61,1197779968,0.011437231
2017/11/27,480.36,480.36,471.53,493.4,468.48,1396480000,0.018553096
2017/11/28,472.9,472.9,480.52,482.48,466.35,1346499968,-0.015984901
2017/11/29,427.52,427.52,473.28,522.31,425.07,2675940096,-0.101686109
2017/11/30,447.11,447.11,431.21,465.5,401.24,1903040000,0.036209439
2017/12/1,466.54,466.54,445.21,472.61,428.31,1247879936,0.046797681
2017/12/2,463.45,463.45,466.85,476.24,456.65,943649984,-0.007309503
2017/12/3,465.85,465.85,463.7,482.81,451.85,990556992,0.004625902
2017/12/4,470.2,470.2,466.05,474.78,453.31,1005550016,0.008865212
2017/12/5,463.28,463.28,470.29,473.56,457.66,1216720000,-0.015017903
2017/12/6,428.59,428.59,462.6,462.71,420.21,1998259968,-0.076361999
2017/12/7,434.41,434.41,426.37,441.4,414.41,2129570048,0.018681275
2017/12/8,456.03,456.03,434.99,466.06,422.37,2336379904,0.047235555
2017/12/9,473.5,473.5,457.34,504.15,456.25,2003849984,0.034724816
2017/12/10,441.72,441.72,472.79,472.79,429.51,1404179968,-0.067975118
2017/12/11,515.14,515.14,440.36,516.97,439.1,1771440000,0.156846134
2017/12/12,651.43,651.43,522.29,657.32,504.49,5179829760,0.220946957
2017/12/13,702.77,702.77,644.91,747.99,597.8,4524539904,0.085918897
2017/12/14,695.82,695.82,700.59,753.12,664.99,3821580032,-0.006831831
2017/12/15,684.45,684.45,696.38,697.13,621.06,2758710016,-0.017279892
2017/12/16,696.21,696.21,686.19,718.39,680.79,2165690112,0.014496782
2017/12/17,719.97,719.97,696.24,735.83,696.24,2147389952,0.033515116
2017/12/18,794.65,794.65,721.73,803.93,689.23,3249230080,0.096250658
2017/12/19,826.82,826.82,793.9,881.94,785.34,4096549888,0.040629508
2017/12/20,819.09,819.09,827.52,845.06,756,3969939968,-0.010239308
2017/12/21,821.06,821.06,820.24,880.54,792.69,3569060096,0.000999208
2017/12/22,674.86,674.86,822.64,827.68,543.76,4977710080,-0.198013419
2017/12/23,719.39,719.39,681.32,763.9,679.73,2480339968,0.054371538
2017/12/24,694.15,694.15,721.77,721.77,614.92,2300549888,-0.039018453
2017/12/25,765.83,765.83,698.87,782.52,698.87,2491760128,0.091495468
2017/12/26,773.84,773.84,763.37,786.79,760.93,2201159936,0.013622292
2017/12/27,762.84,762.84,774.97,789.25,738.41,2100029952,-0.015776008
2017/12/28,737.02,737.02,762.21,763.32,701.19,2389149952,-0.033607079
2017/12/29,753.59,753.59,740.39,770.12,729.61,2648969984,0.017671379
2017/12/30,717.26,717.26,753.82,753.82,685.23,3187780096,-0.049715216
2017/12/31,756.73,756.73,712.21,760.35,710.12,2554269952,0.060633707
2018/1/1,772.64,772.64,755.76,782.53,742,2595760128,0.022089357
2018/1/2,884.44,884.44,772.35,914.83,772.35,5783349760,0.135516861
2018/1/3,962.72,962.72,886,974.47,868.45,5093159936,0.083045661
2018/1/4,980.92,980.92,961.71,1045.08,946.09,6502859776,0.019777957
2018/1/5,997.72,997.72,975.75,1075.39,956.33,6683149824,0.02226627
2018/1/6,1041.68,1041.68,995.15,1060.71,994.62,4662219776,0.045696594
2018/1/7,1153.17,1153.17,1043.01,1153.17,1043.01,5569880064,0.100403908
2018/1/8,1148.53,1148.53,1158.26,1266.93,1016.05,8450970112,-0.008436015
2018/1/9,1299.74,1299.74,1146,1320.98,1145.49,7965459968,0.125886626
2018/1/10,1255.82,1255.82,1300.34,1417.38,1226.6,9214950400,-0.034837023
2018/1/11,1154.93,1154.93,1268.09,1337.3,1135.17,7235899904,-0.093472095
2018/1/12,1273.2,1273.2,1158.29,1296.04,1120.09,5222300160,0.094588637
2018/1/13,1396.42,1396.42,1270.47,1432.88,1270.47,5746760192,0.094524908
2018/1/14,1366.77,1366.77,1397.48,1400.56,1286.21,4841630208,-0.022220323
2018/1/15,1291.92,1291.92,1365.21,1390.59,1290.6,4781100032,-0.055178779
2018/1/16,1053.69,1053.69,1292.63,1292.63,875.54,8405139968,-0.204380613
2018/1/17,1014.25,1014.25,1061.34,1090.23,780.92,8545160192,-0.045382838
2018/1/18,1036.28,1036.28,1016.44,1100.31,967.76,5938319872,0.019331051
2018/1/19,1039.1,1039.1,1028.82,1093.22,1003.71,4084450048,0.009942439
2018/1/20,1155.15,1155.15,1044.95,1167.11,1044.95,3975190016,0.100261168
2018/1/21,1049.58,1049.58,1155.68,1155.68,1021.5,3378089984,-0.096298831
2018/1/22,1003.26,1003.26,1055.35,1089.1,930.74,3810099968,-0.050617768
2018/1/23,986.23,986.23,1004.17,1023.23,920.54,3556699904,-0.018027016
2018/1/24,1058.78,1058.78,987.48,1062.44,965.81,3944039936,0.069716337
2018/1/25,1056.03,1056.03,1063.22,1104.66,1034.74,4050190080,-0.006785445
2018/1/26,1055.17,1055.17,1052.7,1080.6,996.78,3617690112,0.002343599
2018/1/27,1107.07,1107.07,1055.75,1121.98,1042.12,3002870016,0.047465471
2018/1/28,1246.01,1246.01,1111.78,1257.77,1111.78,5372329984,0.113984111
2018/1/29,1182.36,1182.36,1246.7,1256.7,1169.08,3715079936,-0.052987619
2018/1/30,1071.13,1071.13,1184.13,1184.63,1058.97,4107859968,-0.100294162
2018/1/31,1118.31,1118.31,1071.09,1128.66,1034.5,3757560064,0.043141796
2018/2/1,1036.79,1036.79,1119.37,1161.35,984.82,5261680128,-0.076636626
2018/2/2,915.78,915.78,1035.77,1035.77,757.98,6713290240,-0.123124229
2018/2/3,964.02,964.02,919.21,991.94,847.69,3243480064,0.047597436
2018/2/4,834.68,834.68,964.67,969.03,805.06,2997090048,-0.144737656
2018/2/5,697.95,697.95,834.96,856.65,644.6,4269530112,-0.179236353
2018/2/6,793.12,793.12,707.74,796.44,574.42,6518269952,0.11389774
2018/2/7,757.07,757.07,790.43,851.2,723.43,3896179968,-0.043121382
2018/2/8,817.81,817.81,755.84,845.09,755.84,3708189952,0.078800322
2018/2/9,883.86,883.86,818.48,884,788.83,2495820032,0.076849717
2018/2/10,860.41,860.41,882.47,917.4,825.58,2930530048,-0.025315774
2018/2/11,814.66,814.66,859.29,859.29,788.22,2486650112,-0.053335619
2018/2/12,868.71,868.71,817.51,875.94,817.51,2243450112,0.060746218
2018/2/13,845.26,845.26,869.29,870.71,828.84,2081170048,-0.028032514
2018/2/14,923.56,923.56,844.28,926.43,844.28,2818370048,0.089751575
2018/2/15,936.98,936.98,923.73,951.95,911.11,2900100096,0.014242116
2018/2/16,944.21,944.21,934.79,950.01,917.85,2369449984,0.010026694
2018/2/17,974.11,974.11,944.75,976.59,940.75,2525720064,0.030603891
2018/2/18,923.92,923.92,973.35,982.93,915.45,2567290112,-0.052118242
2018/2/19,943.86,943.86,921.67,957.78,921.55,2169019904,0.023790608
2018/2/20,895.37,895.37,943.57,965.27,892.95,2545260032,-0.052433513
2018/2/21,849.97,849.97,894.14,912.38,830.56,2531729920,-0.050661308
2018/2/22,812.84,812.84,849.26,875.93,802.67,2150370048,-0.043831094
2018/2/23,864.19,864.19,811.59,886.32,794.79,2334820096,0.062797366
2018/2/24,840.52,840.52,861.59,879.53,818.55,1926579968,-0.024758772
2018/2/25,844.81,844.81,839.46,853.15,822.38,1646960000,0.006352922
2018/2/26,869.32,869.32,845.28,880.39,842.32,2044480000,0.028043363
2018/2/27,878.27,878.27,870.36,896.26,867.1,2053980032,0.009047144
2018/2/28,855.2,855.2,877.93,890.11,855.12,1963980032,-0.026231504
2018/3/1,872.2,872.2,856.01,880.3,851.92,1868519936,0.018736697
2018/3/2,856.85,856.85,871.76,876.38,852.42,1894419968,-0.017251283
2018/3/3,857.22,857.22,856.71,868.45,855.21,1699369984,0.000595124
2018/3/4,866.68,866.68,856.19,867.95,840.28,1697939968,0.012177506
2018/3/5,853.68,853.68,866.85,869.92,853.52,1898489984,-0.015309535
2018/3/6,816.95,816.95,853.82,853.82,809.93,1943069952,-0.044142505
2018/3/7,752.83,752.83,816.27,825.61,726.55,2175419904,-0.080905744
2018/3/8,704.6,704.6,752.57,773.77,696.17,1891640064,-0.06586375
2018/3/9,728.92,728.92,702.2,729.16,648.11,2233019904,0.037345723
2018/3/10,686.89,686.89,730.16,748.03,682.7,1532960000,-0.061089525
2018/3/11,723.34,723.34,685.31,735.83,668.12,1562680064,0.054008084
2018/3/12,699.83,699.83,724.41,742.51,683.27,1764999936,-0.034520082
2018/3/13,690.83,690.83,698.15,713.73,682.35,1425959936,-0.010540206
2018/3/14,614.29,614.29,691.22,702.78,594.1,1810560000,-0.117991023
2018/3/15,611.3,611.3,614.84,620.62,579.51,1770460032,-0.005774234
2018/3/16,601.67,601.67,611.78,623.17,587.86,1417350016,-0.016663619
2018/3/17,552.78,552.78,601.68,609.15,549.1,1267810048,-0.08476565
2018/3/18,538.64,538.64,551.64,551.64,460.09,2685499904,-0.023848215
2018/3/19,556.73,556.73,546.63,558.1,519.12,2046790016,0.018308226
2018/3/20,557.17,557.17,556.72,567.09,521.2,1833680000,0.000807979
2018/3/21,561.73,561.73,559.1,589.61,550.57,1781270016,0.004692959
2018/3/22,539.7,539.7,562.1,577.57,523.09,1523459968,-0.04066634
2018/3/23,539.62,539.62,539.86,540.49,512.13,1596349952,-0.000444659
2018/3/24,526.44,526.44,542.57,545.38,526.08,1300009984,-0.030179744
2018/3/25,524.29,524.29,522.7,535.82,515.66,1151170048,0.003037281
2018/3/26,489.95,489.95,524.29,526.38,470.44,1638880000,-0.067741621
2018/3/27,450.12,450.12,489.59,491.46,449.97,1617939968,-0.084054092
2018/3/28,446.28,446.28,450.29,466.21,444.86,1514179968,-0.008945262
2018/3/29,385.97,385.97,448.08,450.81,385.81,1970230016,-0.149212142
2018/3/30,394.64,394.64,385.9,409.93,368.63,1878130048,0.022395688
2018/3/31,396.46,396.46,395,418.47,392.95,1323920000,0.003689388
2018/4/1,379.61,379.61,397.25,400.53,363.8,1256930048,-0.045421396
2018/4/2,386.42,386.42,379.7,395.17,377.59,1102259968,0.017543394
2018/4/3,416.89,416.89,387.31,418.97,383.53,1363399936,0.073596992
2018/4/4,380.54,380.54,416.48,417.47,375.31,1287730048,-0.090247145
2018/4/5,383.23,383.23,379.95,387.72,369.82,1210680064,0.008595666
2018/4/6,370.29,370.29,382.73,385.2,366.91,967105984,-0.033043297
2018/4/7,385.31,385.31,370.38,393.06,369.94,951475008,0.039518699
2018/4/8,400.51,400.51,385.74,402.59,385.6,948488000,0.037575168
2018/4/9,398.53,398.53,400.86,429.25,390.61,1478390016,-0.005829461
2018/4/10,414.24,414.24,399.41,415.89,393.88,1196000000,0.036457058
2018/4/11,430.54,430.54,415.02,430.54,412.47,1439040000,0.036713523
2018/4/12,492.94,492.94,430.16,493.06,417.41,2519360000,0.13623023
2018/4/13,492.73,492.73,493.16,526.47,482.66,2419249920,-0.000872308
2018/4/14,501.48,501.48,492.58,512.02,488.28,1519079936,0.017906842
2018/4/15,531.7,531.7,502.88,531.7,502.88,1726089984,0.055727847
2018/4/16,511.15,511.15,532.07,534.2,500.25,1758979968,-0.04011197
2018/4/17,502.89,502.89,511.14,518.03,502.56,1760359936,-0.016272067
2018/4/18,524.79,524.79,503.31,525.09,503.05,1762940032,0.0417919
2018/4/19,567.89,567.89,524.04,567.89,523.26,2256869888,0.080359721
2018/4/20,615.72,615.72,567.99,618.72,560.28,2849469952,0.080688502
2018/4/21,605.4,605.4,616,621.89,578.55,2612460032,-0.017357567
2018/4/22,621.86,621.86,606.12,640.77,593.87,2426269952,0.025637001
2018/4/23,642.55,642.55,621.2,646.7,621.03,2386830080,0.033791543
2018/4/24,708.16,708.16,643.4,708.88,643.4,3581860096,0.095903442
2018/4/25,615.42,615.42,707.06,707.06,600.21,4216140032,-0.138810566
2018/4/26,662.81,662.81,618.08,663.18,604.01,2984009984,0.069870474
2018/4/27,647.03,647.03,662.11,684.87,647.03,2598129920,-0.023039044
2018/4/28,683.68,683.68,644.65,691.44,644.65,2496659968,0.058782438
2018/4/29,688.88,688.88,683.91,697.76,670.51,2740559872,0.00724076
2018/4/30,669.92,669.92,689.76,694.44,666.12,2853100032,-0.029185409
2018/5/1,673.61,673.61,670.46,674.4,637.54,2678960128,0.004687264
2018/5/2,687.15,687.15,674.08,688.84,667.42,2822269952,0.019203811
2018/5/3,779.54,779.54,686.59,784.34,686.59,4210939904,0.126966686
2018/5/4,785.62,785.62,776.78,803.75,762.63,3533410048,0.011316045
2018/5/5,816.12,816.12,784.58,827.46,784.24,3035040000,0.03941286
2018/5/6,792.31,792.31,816.09,835.06,764.88,3105570048,-0.029571914
2018/5/7,753.72,753.72,793.34,795.76,710.18,4316120064,-0.051230935
2018/5/8,752.86,752.86,755.01,774.25,728.13,2920489984,-0.002851707
2018/5/9,752.28,752.28,752.9,759.53,718.47,2877870080,-0.000823822
2018/5/10,727.28,727.28,752.58,766.75,726.66,2748950016,-0.034195755
2018/5/11,679.59,679.59,727.01,736.98,669.83,3290080000,-0.067450557
2018/5/12,686.05,686.05,679.88,691.41,644.07,2668480000,0.009034199
2018/5/13,733.5,733.5,687.17,741.31,675.32,2362500096,0.065245883
2018/5/14,730.55,730.55,732.73,742.17,695.79,3005110016,-0.00297961
2018/5/15,708.87,708.87,731.14,739.05,700.99,2523069952,-0.030932807
2018/5/16,707.05,707.05,708.09,710.2,682.54,2476130048,-0.00146982
2018/5/17,672.66,672.66,708.72,718.83,668.83,2350619904,-0.052220525
2018/5/18,694.37,694.37,672.1,695.03,663.81,2305740032,0.032597821
2018/5/19,696.53,696.53,695.07,715.58,686.79,2021549952,0.002098305
2018/5/20,715.37,715.37,697.92,723.75,692.67,2156910080,0.024695408
2018/5/21,699.22,699.22,717.19,719.28,692.49,2005170048,-0.02537537
2018/5/22,647.74,647.74,700.18,700.98,644.03,2230469888,-0.077848064
2018/5/23,583.59,583.59,646.67,651.64,572.95,2995429888,-0.102637437
2018/5/24,601.76,601.76,584.54,610.82,557.21,2791099904,0.029033482
2018/5/25,586.73,586.73,602.14,617.19,575.62,2110919936,-0.025925228
2018/5/26,587.28,587.28,587.43,606.17,583.51,1694300032,-0.000255382
2018/5/27,572.67,572.67,588.52,590.33,562.87,1788790016,-0.027301276
2018/5/28,516.04,516.04,573.04,576.05,512.55,2356900096,-0.10477124
2018/5/29,565.39,565.39,516.15,572.26,516.15,2330820096,0.091118338
2018/5/30,559.59,559.59,566.83,583.14,545.43,2053970048,-0.012855062
2018/5/31,577.65,577.65,558.5,585.54,557.07,1985040000,0.03371353
2018/6/1,580.04,580.04,578.67,589.09,567.66,1945890048,0.0023647
2018/6/2,591.81,591.81,580.43,597.08,577.32,1880390016,0.019416429
2018/6/3,618.33,618.33,591.26,624.51,591.26,1832550016,0.044766443
2018/6/4,592.98,592.98,619.44,623.43,583.75,1903430016,-0.043655172
2018/6/5,609.3,609.3,593.41,611.33,580.98,1844269952,0.026425198
2018/6/6,607.12,607.12,610.26,611.64,596.4,1756530048,-0.005158631
2018/6/7,605.19,605.19,607.69,616.14,601.69,1880140032,-0.004122425
2018/6/8,601.08,601.08,605.44,608.81,595.59,1637779968,-0.007227429
2018/6/9,597.56,597.56,600.91,608.58,597.56,1519309952,-0.005590476
2018/6/10,526.48,526.48,594.34,594.34,511.89,2234880000,-0.121238202
2018/6/11,533.28,533.28,524.86,536.86,515.27,1982119936,0.015915054
2018/6/12,496.84,496.84,532.71,538.96,491.23,1932760064,-0.069709143
2018/6/13,477.49,477.49,498.02,501.9,459,2080130048,-0.04209702
2018/6/14,519.74,519.74,478.38,523.54,467.47,2458650112,0.082923291
2018/6/15,491,491,520.48,521.3,487.47,1808269952,-0.058307335
2018/6/16,499.64,499.64,490.41,503.22,488.85,1314109952,0.018646063
2018/6/17,500.45,500.45,499.46,507.64,498.65,1264870016,0.001980179
2018/6/18,518.89,518.89,499.38,521.8,494.07,1513869952,0.038324586
2018/6/19,537.96,537.96,519.02,542.35,516.31,1726569984,0.03584179
2018/6/20,536.27,536.27,538.51,541.02,519.37,1596290048,-0.004168301
2018/6/21,527.37,527.37,536.45,543.72,524.26,1462070016,-0.017070972
2018/6/22,465.82,465.82,527.19,527.19,456.88,2226030080,-0.123761721
2018/6/23,474.52,474.52,466.27,479.13,462.39,1651379968,0.017538901
2018/6/24,457.67,457.67,474.77,475.36,426.47,2490579968,-0.036682076
2018/6/25,460.31,460.31,455.94,470.34,448.9,4007950080,0.009538954
2018/6/26,432.77,432.77,460.73,461.21,432.77,1356560000,-0.062605779
2018/6/27,442.36,442.36,432.24,444.24,424.84,1368940032,0.023143041
2018/6/28,422.36,422.36,442.29,443.62,419.68,1360790016,-0.046107745
2018/6/29,436.01,436.01,422.59,441.79,407.95,1564499968,0.031262737
2018/6/30,455.18,455.18,436.21,458.8,436.21,1475939968,0.042569166
2018/7/1,453.92,453.92,455.24,457.14,446.39,1511730048,-0.002903781
2018/7/2,475.35,475.35,453.82,479.13,447.11,1625789952,0.046350731
2018/7/3,464.2,464.2,475.39,483.85,462.58,1683939968,-0.023820026
2018/7/4,467.32,467.32,464.15,481.44,455.18,1549769984,0.006806472
2018/7/5,474.41,474.41,467.29,483.23,464.63,1828610048,0.015121877
2018/7/6,474.01,474.01,474.36,479.65,457.61,1627609984,-0.000738109
2018/7/7,491.66,491.66,474.06,491.66,466.84,1358360064,0.036453525
2018/7/8,489.12,489.12,492.07,503.2,488.42,1344560000,-0.006013125
2018/7/9,476.68,476.68,488.88,490.85,475.17,1533799936,-0.025271654
2018/7/10,434.42,434.42,476.16,478.32,433.96,1789069952,-0.091742124
2018/7/11,446.52,446.52,434.52,447.32,429.51,1422470016,0.027242219
2018/7/12,430.07,430.07,446.5,446.5,422.81,1495440000,-0.037491414
2018/7/13,434.03,434.03,430.74,442.36,430.74,1489670016,0.007608996
2018/7/14,436.09,436.09,434.51,439.43,431.47,1235820032,0.003629685
2018/7/15,449.85,449.85,435.88,454,433.92,1350160000,0.031547218
2018/7/16,480.66,480.66,450.42,480.66,446.8,1858680064,0.064979679
2018/7/17,501,501,480.08,508.78,468.92,2288100096,0.042653344
2018/7/18,480.51,480.51,500.84,513.43,474.36,2371559936,-0.041438649
2018/7/19,469.62,469.62,480.63,483.24,465.14,2068739968,-0.023173886
2018/7/20,450.7,450.7,469.31,469.31,443.69,1821350016,-0.040461601
2018/7/21,462.44,462.44,450.68,468.08,445.78,1504310016,0.025759266
2018/7/22,459.66,459.66,462.44,470.9,458.12,1338589952,-0.006029733
2018/7/23,450.85,450.85,459.44,469.77,449.73,1596999936,-0.018873667
2018/7/24,479.37,479.37,451.14,481.14,450.57,2287520000,0.060695029
2018/7/25,472.49,472.49,479.91,482.87,466.47,1930780032,-0.015582004
2018/7/26,464.04,464.04,472.33,483.7,461.42,1621560064,-0.017707138
2018/7/27,469.67,469.67,464.01,473.22,458.29,1734259968,0.012124217
2018/7/28,466.9,466.9,469.68,471.59,462.99,1531890048,-0.00593651
2018/7/29,466.67,466.67,466.92,470.36,462.71,1631910016,-0.000535567
2018/7/30,457.08,457.08,466.83,467.95,448.64,2141590000,-0.021106735
2018/7/31,433.87,433.87,457.24,457.24,430.44,1820680000,-0.052463467
2018/8/1,420.75,420.75,433.87,435.46,410.46,1888060000,-0.030706117
2018/8/2,412.62,412.62,420.81,425.03,410.31,1569300000,-0.019654353
2018/8/3,418.26,418.26,412.57,420.55,399.91,1722340000,0.01369736
2018/8/4,407.25,407.25,418.24,420.19,403.78,1466540000,-0.026628183
2018/8/5,410.52,410.52,407.35,413.72,402.43,1396820000,0.007751882
2018/8/6,406.66,406.66,410.57,414.54,403.32,1384880000,-0.009568983
2018/8/7,380.21,380.21,406.8,411.4,376.08,1828350000,-0.067597933
2018/8/8,356.61,356.61,379.89,380.67,353.73,2016080000,-0.063238989
2018/8/9,365.59,365.59,356.97,370.95,353.61,1616610000,0.023860742
2018/8/10,334.18,334.18,365.78,367.05,329.59,1699400000,-0.09035229
2018/8/11,322.11,322.11,334.26,334.26,308.49,1790370000,-0.037026031
2018/8/12,319.57,319.57,320.82,328.59,318.6,1625420000,-0.003903876
2018/8/13,286.49,286.49,320.21,323.55,284.93,1751190000,-0.111273399
2018/8/14,278.93,278.93,286.36,286.36,254.65,2137850000,-0.026288906
2018/8/15,282.36,282.36,280.39,303.59,280.12,1878150000,0.007001361
2018/8/16,288.05,288.05,282.74,298.48,280.93,1552970000,0.018606329
2018/8/17,315.73,315.73,287.68,316.17,287.35,1995460000,0.093038667
2018/8/18,295.81,295.81,316.79,320.45,286.55,1764020000,-0.068521737
2018/8/19,300.83,300.83,295.67,307.1,291.33,1447910000,0.017301354
2018/8/20,274.32,274.32,301.38,304.37,273.51,1413790000,-0.094076619
2018/8/21,281.94,281.94,273.33,285.97,273.33,1164120000,0.031014426
2018/8/22,271.34,271.34,281.97,297.49,265,1507660000,-0.038428035
2018/8/23,277.1,277.1,271.75,279.55,271.09,1271160000,0.019495926
2018/8/24,282.97,282.97,278.11,283.3,273.86,1450170000,0.017324166
2018/8/25,279.65,279.65,283.28,283.52,278.47,1208360000,-0.012896987
2018/8/26,275.2,275.2,279.52,279.52,272.44,1206650000,-0.01557574
2018/8/27,285.6,285.6,275.35,285.6,273.65,1406790000,0.036549215
2018/8/28,296.5,296.5,286.65,297.4,283.57,1513350000,0.033785259
2018/8/29,289.31,289.31,296.16,297.07,287.29,1474460000,-0.023401071
2018/8/30,284.11,284.11,289.75,291.24,275.21,1513100000,-0.019656995
2018/8/31,283,283,284.12,284.55,278.51,1411910000,-0.003949786
2018/9/1,295.34,295.34,283.5,301.14,283.5,1546630000,0.040915112
2018/9/2,294.37,294.37,295.45,298.69,290.93,1321050000,-0.003662138
2018/9/3,289.26,289.26,295.18,295.59,287.43,1394490000,-0.020259402
2018/9/4,285.72,285.72,289.3,291.58,284.26,1554870000,-0.012451902
2018/9/5,232.33,232.33,286.05,288.16,232.33,2390390000,-0.208007846
2018/9/6,230.21,230.21,231.65,231.76,218.12,2097310000,-0.006235676
2018/9/7,217.2,217.2,229.54,233.9,217.07,1678260000,-0.055258718
2018/9/8,197.95,197.95,217.91,220.37,193.26,1517200000,-0.09606766
2018/9/9,196.92,196.92,198.38,207.67,188.31,1585980000,-0.007386828
2018/9/10,197.08,197.08,197.85,201.88,189.58,1502960000,-0.00389943
2018/9/11,185.07,185.07,198.18,198.51,180.6,1568900000,-0.068441577
2018/9/12,183.33,183.33,185.42,185.59,170.26,1874850000,-0.011335715
2018/9/13,211.35,211.35,183.68,214,183.68,2330720000,0.140320414
2018/9/14,211.75,211.75,212.67,222.79,204.87,2232190000,-0.004335335
2018/9/15,223.07,223.07,209.81,226.6,209.61,1670490000,0.061283264
