EventType,EventTime_ET,OffsetMin,Minute_ET,Actual,Forecast,Previous,BTC_ret_1m,ETH_ret_1m,Surprise,Category,BTC_volume_1m,ETH_volume_1m
CPI,2024-01-11 09:30:00-05:00,-60,2024-01-11 08:30:00-05:00,0.3,0.3,0.3,-0.00106067,-0.00202166,0,Equal,379.58,1524.34
CPI,2024-01-11 09:30:00-05:00,-59,2024-01-11 08:31:00-05:00,0.3,0.3,0.3,-0.00450414,-0.00245822,0,Equal,254.31,2393.96
CPI,2024-01-11 09:30:00-05:00,-58,2024-01-11 08:32:00-05:00,0.3,0.3,0.3,0.00200841,0.00191286,0,Equal,255.46,2209.02
CPI,2024-01-11 09:30:00-05:00,-57,2024-01-11 08:33:00-05:00,0.3,0.3,0.3,0.00168292,0.00120322,0,Equal,123.63,873.14
CPI,2024-01-11 09:30:00-05:00,-56,2024-01-11 08:34:00-05:00,0.3,0.3,0.3,0.00003847,0.00054971,0,Equal,158.08,1320.52
CPI,2024-01-11 09:30:00-05:00,-55,2024-01-11 08:35:00-05:00,0.3,0.3,0.3,0.00265255,0.00402013,0,Equal,116.48,1414.58
CPI,2024-01-11 09:30:00-05:00,-54,2024-01-11 08:36:00-05:00,0.3,0.3,0.3,-0.00129955,-0.00294359,0,Equal,81.2,753.53
CPI,2024-01-11 09:30:00-05:00,-53,2024-01-11 08:37:00-05:00,0.3,0.3,0.3,0.00016236,-0.00018925,0,Equal,92.56,716.11
CPI,2024-01-11 09:30:00-05:00,-52,2024-01-11 08:38:00-05:00,0.3,0.3,0.3,-0.00217744,-0.00207456,0,Equal,51.18,628.96
CPI,2024-01-11 09:30:00-05:00,-51,2024-01-11 08:39:00-05:00,0.3,0.3,0.3,0.00124496,0.00099391,0,Equal,61.77,426.57
CPI,2024-01-11 09:30:00-05:00,-50,2024-01-11 08:40:00-05:00,0.3,0.3,0.3,-0.00146325,-0.0018911,0,Equal,65.35,735.67
CPI,2024-01-11 09:30:00-05:00,-49,2024-01-11 08:41:00-05:00,0.3,0.3,0.3,-0.00100487,-0.00031515,0,Equal,56.6,506.89
CPI,2024-01-11 09:30:00-05:00,-48,2024-01-11 08:42:00-05:00,0.3,0.3,0.3,0.00138532,0.00129897,0,Equal,105.22,599.91
CPI,2024-01-11 09:30:00-05:00,-47,2024-01-11 08:43:00-05:00,0.3,0.3,0.3,0.00036297,0.00069796,0,Equal,35.53,447.8
CPI,2024-01-11 09:30:00-05:00,-46,2024-01-11 08:44:00-05:00,0.3,0.3,0.3,-0.00016728,-0.00073158,0,Equal,39,495.28
CPI,2024-01-11 09:30:00-05:00,-45,2024-01-11 08:45:00-05:00,0.3,0.3,0.3,0.00299884,0.00210153,0,Equal,75.18,496.12
CPI,2024-01-11 09:30:00-05:00,-44,2024-01-11 08:46:00-05:00,0.3,0.3,0.3,0.00025287,0.00029526,0,Equal,90.86,486.49
CPI,2024-01-11 09:30:00-05:00,-43,2024-01-11 08:47:00-05:00,0.3,0.3,0.3,0.00027357,-0.0009158,0,Equal,61.63,283.41
CPI,2024-01-11 09:30:00-05:00,-42,2024-01-11 08:48:00-05:00,0.3,0.3,0.3,0.00080459,0.00063634,0,Equal,43.79,339.62
CPI,2024-01-11 09:30:00-05:00,-41,2024-01-11 08:49:00-05:00,0.3,0.3,0.3,-0.00004255,0.00008328,0,Equal,57.26,374.15
CPI,2024-01-11 09:30:00-05:00,-40,2024-01-11 08:50:00-05:00,0.3,0.3,0.3,0.00111876,0.0003028,0,Equal,55.48,365.9
CPI,2024-01-11 09:30:00-05:00,-39,2024-01-11 08:51:00-05:00,0.3,0.3,0.3,0.00006682,-0.00033677,0,Equal,56.04,363.12
CPI,2024-01-11 09:30:00-05:00,-38,2024-01-11 08:52:00-05:00,0.3,0.3,0.3,-0.00003721,-0.00021197,0,Equal,38.38,199.63
CPI,2024-01-11 09:30:00-05:00,-37,2024-01-11 08:53:00-05:00,0.3,0.3,0.3,-0.00048928,-0.00044296,0,Equal,33.9,363.68
CPI,2024-01-11 09:30:00-05:00,-36,2024-01-11 08:54:00-05:00,0.3,0.3,0.3,0.00049734,-0.00016666,0,Equal,33.36,159.23
CPI,2024-01-11 09:30:00-05:00,-35,2024-01-11 08:55:00-05:00,0.3,0.3,0.3,-0.00001269,-0.00011744,0,Equal,50.58,538.42
CPI,2024-01-11 09:30:00-05:00,-34,2024-01-11 08:56:00-05:00,0.3,0.3,0.3,0.00036136,-0.00052663,0,Equal,32.03,252.52
CPI,2024-01-11 09:30:00-05:00,-33,2024-01-11 08:57:00-05:00,0.3,0.3,0.3,-0.00042485,-0.00152387,0,Equal,55.06,871.94
CPI,2024-01-11 09:30:00-05:00,-32,2024-01-11 08:58:00-05:00,0.3,0.3,0.3,-0.00002115,0,0,Equal,41.6,458.2
