Date,Close,Adj Close,Open,High,Low,Vol,Close_return
,HSBA.L,HSBA.L,HSBA.L,HSBA.L,HSBA.L,HSBA.L,
2015/1/2,612,608.49,614.7,615.21,607.3,12528438,-0.010153865
2015/1/5,603.9,600.44,613.7,615,600.92,32086467,-0.02184349
2015/1/6,593.7,590.3,604.6,607,592.29,28189734,-0.0239362
2015/1/7,601,597.56,601.4,605.1,583.63,28395510,-0.006405573
2015/1/8,606.2,602.73,607,609,603.4,21764894,-0.007059456
2015/1/9,602,598.55,606.5,607,598,28839407,-0.013194665
2015/1/12,602.7,599.25,604.9,607.4,597.56,15509354,-0.009384282
2015/1/13,604.2,600.74,604.7,608.13,602.3,17723238,-0.006570239
2015/1/14,590.1,586.72,602.1,603.7,586.8,37012087,-0.02587584
2015/1/15,596.9,593.48,595.5,597.1,579.05,39475810,-0.003397874
2015/1/16,594,590.6,595.2,595.69,573.54,33785165,-0.007758514
2015/1/19,596.3,592.88,594.6,599.34,593,12892354,-0.002896893
2015/1/20,595.7,592.29,599.2,600.34,577.22,22954267,-0.011599052
2015/1/21,605.6,602.13,599.2,605.7,595.77,25477705,0.004877937
2015/1/22,620.3,616.75,610.7,622,609.18,44136233,0.009857915
2015/1/23,624.8,621.22,628,630,622.1,24472298,-0.01085488
2015/1/26,627.1,623.51,622.4,628.7,621.3,15445904,0.001781831
2015/1/27,618,614.46,624.9,625.97,613,66313695,-0.016847804
2015/1/28,618.2,614.66,621.1,623.1,613.4,20810341,-0.01042283
2015/1/29,618.1,614.56,614,619.3,597.1,20258985,0.000911636
2015/1/30,609.6,606.11,619.9,619.9,609.21,26651240,-0.022496687
2015/2/2,612.4,608.89,612.5,621.37,604.4,23815217,-0.005911315
2015/2/3,617.5,613.96,613.4,620.9,611.8,20982554,0.000912528
2015/2/4,615.6,612.07,617,620.5,611.7,19903007,-0.008022369
2015/2/5,613.4,609.89,613.7,615.3,608.8,14310382,-0.006227596
2015/2/6,620.8,617.24,613.1,625.4,611.19,18587507,0.006729872
2015/2/9,610.6,607.1,616.5,616.5,605.67,27386934,-0.0153648
2015/2/10,597.8,594.37,608.5,608.5,596.4,33144061,-0.023494891
2015/2/11,592.1,588.71,592.2,596.9,590.1,20095304,-0.005910713
2015/2/12,596.4,592.98,597.6,601.2,595.6,23828552,-0.007760962
2015/2/13,598.2,594.77,599,603.2,596.9,20748084,-0.007086822
2015/2/16,601.1,597.66,596.2,605.1,596.2,11851066,0.002445849
2015/2/17,602.8,599.35,603,606.7,599.3,22143625,-0.006071462
2015/2/18,605.5,602.03,606.7,608.7,603.4,22811434,-0.007727157
2015/2/19,601.9,598.45,603.2,606.6,599.93,19017408,-0.007905837
2015/2/20,605.2,601.73,603.6,606.69,599.8,24187140,-0.003102887
2015/2/23,577.2,573.89,610,610,566,65270035,-0.061021217
2015/2/24,581.6,578.27,578.3,583.8,574.8,54290953,-5.18775E-05
2015/2/25,577.4,574.09,581,583.28,574.9,29314543,-0.011964578
2015/2/26,581.6,578.27,578.5,582.1,568.17,21425644,-0.000397659
2015/2/27,577.3,573.99,582,585.08,577.3,45003230,-0.013858473
2015/3/2,582.9,579.56,579.8,583.3,578,25524822,-0.000414022
2015/3/3,580.9,577.57,583.8,587.2,580.9,28561844,-0.010728811
2015/3/4,586.1,582.74,584.6,587.1,581.9,19951150,-0.003186735
2015/3/5,570.6,567.46,575.8,576.6,570.12,24283356,-0.014590116
2015/3/6,568,564.87,571,572.83,567.8,26920402,-0.010793593
2015/3/9,566.5,563.38,568.3,571.1,566.5,23705850,-0.008695092
2015/3/10,559.9,556.82,571.4,573.6,559.9,42772000,-0.025847462
2015/3/11,561.8,558.71,561.9,565.4,556.8,31849288,-0.005693343
2015/3/12,560.3,557.22,563,569.42,557.53,36275981,-0.010319493
2015/3/13,561.3,558.21,563.4,564.01,555.4,41824395,-0.00925462
2015/3/16,562,558.91,563.9,566.8,558.9,22272723,-0.008888472
2015/3/17,570.2,567.06,563,571.6,561.4,24430888,0.00718549
2015/3/18,579.3,576.11,572.3,580.8,569.8,34306875,0.006635285
2015/3/19,577.1,573.92,576.9,579.6,574,25963047,-0.005178927
2015/3/20,584.7,581.48,577.9,586,576.9,42496431,0.006175734
2015/3/23,578.7,575.52,584.1,585.4,577.1,30128787,-0.014798221
2015/3/24,578.3,575.12,578.9,586.48,575.3,27195024,-0.006551036
2015/3/25,583.5,580.29,584.7,597,580.98,24203263,-0.007570917
2015/3/26,581.7,578.5,581.1,585.2,578.16,24658083,-0.004484312
2015/3/27,578.5,575.32,585,585.5,559.01,63379258,-0.016685439
2015/3/30,583.3,580.09,584.5,585.5,580.1,17211597,-0.007573517
2015/3/31,574,570.84,583.6,583.6,550.67,32035736,-0.022106856
2015/4/1,578.6,575.42,574.7,581.2,573.14,23633941,0.001252043
2015/4/2,582.3,579.1,581.5,583.9,578.3,21648644,-0.004135798
2015/4/7,586.9,583.67,587.7,587.7,582.7,25621333,-0.006880859
2015/4/8,587,583.77,589,591.77,585.68,30949899,-0.008919114
2015/4/9,604,600.68,593.6,605.1,593,49218843,0.011856655
2015/4/10,612.1,608.73,605.8,612.16,604.1,72628966,0.004824921
2015/4/13,618,614.6,617.2,623.6,611.81,30015142,-0.004221471
2015/4/14,616.3,612.91,619.2,622.2,614.96,31740348,-0.010210216
2015/4/15,617.7,614.3,618.4,621,614.59,23727206,-0.006652089
2015/4/16,606.8,603.46,617.6,617.6,605,28374242,-0.02316124
2015/4/17,600,596.7,605.1,610.9,597.3,29382003,-0.013979259
2015/4/20,613.3,609.93,605.1,614.4,603.62,29761843,0.007950463
2015/4/21,613.2,609.83,614.3,615.7,610.9,23271848,-0.007303178
2015/4/22,607.5,604.16,612.7,612.8,603.1,21058207,-0.014036356
2015/4/23,612.2,608.83,608,613.52,604.1,18459038,0.001364201
2015/4/24,629.7,626.23,610.8,635.5,610.1,41419465,0.024948142
2015/4/27,649.3,645.73,658.2,658.9,645.42,57245414,-0.019127377
2015/4/28,647.4,643.84,647.9,650.1,640.1,32544701,-0.006286115
2015/4/29,645.8,642.25,647.2,654.8,645.8,27146018,-0.00767773
2015/4/30,648.1,644.53,644.7,674.57,561.59,34778856,-0.000263723
2015/5/1,646.3,642.74,647.3,649.2,637.43,17522975,-0.007069578
2015/5/5,630.4,626.93,630.4,630.4,630.4,127,-0.005519647
