Date,Close,Adj Close,Open,High,Low,Vol,Close_return
,^FTSE,^FTSE,^FTSE,^FTSE,^FTSE,^FTSE,
2015/1/2,6547.8,6547.8,6566.1,6607.9,6510.6,367562200,-0.002790934
2015/1/5,6417.2,6417.2,6547.8,6576.7,6404.5,728001100,-0.02014723
2015/1/6,6366.5,6366.5,6417.2,6452.7,6328.6,769463100,-0.007932017
2015/1/7,6419.8,6419.8,6366.5,6459.7,6366.5,688211500,0.008337097
2015/1/8,6570,6570,6419.8,6580.8,6419.8,882740200,0.023126868
2015/1/9,6501.1,6501.1,6570,6570.2,6471.4,738488500,-0.010542439
2015/1/12,6501.4,6501.4,6501.1,6542.4,6447.9,602313100,4.6145E-05
2015/1/13,6542.2,6542.2,6501.4,6558.8,6465.2,673572900,0.006255962
2015/1/14,6388.5,6388.5,6542.2,6542.2,6353.7,971256900,-0.023774001
2015/1/15,6498.8,6498.8,6388.5,6498.8,6298.2,980049600,0.017118045
2015/1/16,6550.3,6550.3,6498.8,6553.2,6443.3,805741900,0.007893306
2015/1/19,6585.5,6585.5,6550.3,6598.9,6548,537915700,0.005359412
2015/1/20,6620.1,6620.1,6585.5,6640.4,6585.5,677002900,0.005240213
2015/1/21,6728,6728,6620.1,6728,6620.1,847589600,0.016167447
2015/1/22,6796.6,6796.6,6728,6808.2,6726.2,926018400,0.010144564
2015/1/23,6832.8,6832.8,6796.6,6841.7,6796.6,839368300,0.005312059
2015/1/26,6852.4,6852.4,6832.8,6855.9,6790.1,611915000,0.00286441
2015/1/27,6811.6,6811.6,6852.4,6865,6773.5,713907000,-0.005971915
2015/1/28,6825.9,6825.9,6811.6,6863,6777.1,779603800,0.002097159
2015/1/29,6810.6,6810.6,6825.9,6825.9,6750.2,704517100,-0.002243979
2015/1/30,6749.4,6749.4,6810.6,6844,6749.4,799357300,-0.00902661
2015/2/2,6782.6,6782.6,6749.4,6795.5,6732,757554400,0.004906897
2015/2/3,6871.8,6871.8,6782.6,6886.3,6782.4,855708500,0.013065571
2015/2/4,6860,6860,6871.8,6883.5,6804.1,817845800,-0.001718639
2015/2/5,6865.9,6865.9,6860,6870.1,6808.2,731200400,0.000859689
2015/2/6,6853.4,6853.4,6865.9,6886.2,6835.5,648533700,-0.001822251
2015/2/9,6837.2,6837.2,6853.4,6853.4,6778,620697200,-0.002366588
2015/2/10,6829.1,6829.1,6837.2,6843.9,6788.9,773108400,-0.001185398
2015/2/11,6818.2,6818.2,6829.1,6838.3,6786.1,623275800,-0.001597386
2015/2/12,6828.1,6828.1,6818.2,6854.6,6817.2,809863300,0.001450943
2015/2/13,6873.5,6873.5,6828.1,6887.6,6828.1,734854200,0.006626988
2015/2/16,6857.1,6857.1,6873.5,6878.7,6851.8,415979100,-0.002388826
2015/2/17,6898.1,6898.1,6857.1,6898.1,6819.8,612932700,0.0059614
2015/2/18,6898.1,6898.1,6898.1,6921.3,6876.3,677405400,0
2015/2/19,6888.9,6888.9,6898.1,6907.3,6858.7,641759700,-0.001334591
2015/2/20,6915.2,6915.2,6888.9,6920.5,6884.8,764028800,0.003810467
2015/2/23,6912.2,6912.2,6915.2,6943.6,6885.9,680805600,-0.000433921
2015/2/24,6949.6,6949.6,6912.2,6958.9,6899.6,831640000,0.005396138
2015/2/25,6935.4,6935.4,6949.6,6955.4,6904.9,697704800,-0.002045373
2015/2/26,6949.7,6949.7,6935.4,6950,6920.5,782087000,0.002059763
2015/2/27,6946.7,6946.7,6949.7,6967.2,6929.8,881579100,-0.000431767
2015/3/2,6940.6,6940.6,6946.7,6974.3,6924.3,778879400,-0.000878501
2015/3/3,6889.1,6889.1,6940.6,6963.6,6889.1,784037600,-0.007447774
2015/3/4,6919.2,6919.2,6889.1,6919.2,6862.9,741168200,0.004359704
2015/3/5,6961.1,6961.1,6919.2,6968.6,6914.1,798406800,0.006037352
2015/3/6,6911.8,6911.8,6961.1,6961.2,6911.8,748637900,-0.007107412
2015/3/9,6876.5,6876.5,6911.8,6911.8,6859.8,670579200,-0.005120294
2015/3/10,6702.8,6702.8,6876.5,6876.9,6702.8,887272000,-0.025584452
2015/3/11,6721.5,6721.5,6702.8,6739,6693.8,746833900,0.002785994
2015/3/12,6761.1,6761.1,6721.5,6799.8,6721.5,845927100,0.005874255
2015/3/13,6740.6,6740.6,6761.1,6777.8,6713.5,710321200,-0.003036657
2015/3/16,6804.1,6804.1,6740.6,6809.1,6740.6,685731900,0.00937643
2015/3/17,6837.6,6837.6,6804.1,6846.9,6798.5,757362800,0.004911421
2015/3/18,6945.2,6945.2,6837.6,6945.2,6837.3,772632700,0.015613981
2015/3/19,6962.3,6962.3,6945.2,6982.8,6929.7,809174400,0.002459106
2015/3/20,7022.5,7022.5,6962.3,7024.2,6960.8,1419421400,0.0086094
2015/3/23,7037.7,7037.7,7022.5,7037.7,6991.4,673591200,0.002162132
2015/3/24,7019.7,7019.7,7037.7,7065.1,7012.5,702620900,-0.00256093
